node,relation_nodes
1333303513,"1333698950,1333341472,3501206652,420248835,420248486,1333361940,1333362002,1334198716,1333394776,1334198503,1334202642,420248612,1333361989,1333361923,1333361946,1333341510,3763846115,3763860006,3763860010,5424248620,1333361871,5424248615,5424248618,6038368517,6038469978,6038552820,6040843113,6045374198,3763846141,1616276760,6537343233,6539587383,6539660688,6539660697,6539660703,6539660708,6543286883,420248933,6555689173,6555742704,6555764793"
420249128,"420248767,420248970,1333379833,1333379851,420248578,6525506178"
420248767,"420249128,420248831,420249030,6038233268,6542846312,6542846314"
1334202762,"6041178086,1334202692,5599268247,3759909939,1334202618,1334202695,420249116,1334202606,1334208739,3048767465,3756969120,3756969124,3756970029,3756982798,3756982234,5578866882,6040602350,6040602352,6041178102,6040703741,6040788863,6040602362,6532219880,3756986141,6532711748,6532758937,6532758939,6530448257"
6041178086,"1334202762,1334202695,420249116,1334208739,3756982234,5578866882,6040602350,6040602352,6041178102,6040788863,6040602362,6532711748,6532758937,6532758939,6530448257"
420248911,"6532141634,2990909245,2990909243,3070108192,3070253482,6047709311,6040965312,1334172029,6334805179,6334805176,6525075795,6525075799,6525094807,6525094808,6525094813,6525096654,6525309544,6525586824,6525586826,6530556549"
6532141634,"1334170358,6525047604"
420248312,",1038395031"
420248312,",3068686937"
2988720158,"6506988635,420249482,3050564220,6148932983,6148933187"
6506988635,"2988720158,420249470,3050564220,6148932983,6148933187"
4660490848,"6038442037,4660490873,6092826150,4660490871,6038228539,6038228532,6038365604,6038365606,6038365618,6038365615,6038365621,4660490864,6038365622,6038365624,6038442032,6038442034,6038442042,4660490868,6038442043,6092826151,6038442046,6092826152"
6038442037,"4660490848,6038442036,6038228532,6038365604,6038365618,6038365621,6038442032,6038442034,6038442042,6038442043,6038442046"
420248577,"420249005,420248815,5896811070,1333361917,1333363207,1333368235,420248807,3080182101,3080182062,420248797,420248803,3757050361,3757050363,3757050366,3757050371,3757050382,3760143385,3760163443,3760163770,3761464378,3761464382,3780605570,1333303420,3760163442,6045389531,6045389534,6045447635,6060082210,6518482582,6521320881,6521331076,6521337972,6521448004,3514452347,3757277956,3760163835,3760163840,1333372821,4076171124,4076171126,420249146,6336741750,6532961025,6532969849,6533004927"
