wayid,nodes
127435033,"1333762403,3510593717,6511482889,3510593715,6511468096,1410502957,6511468098,3510593712,6507266055,1410502849,6507266057,3510593711,1410503009,3510593708,1410502965,3510593707,6507245543,1410502924,6507232345,3510593705,1410502866,3510593704,1410502779,3510593698,1410502782,3510593699,3510593696,3510593697,1410502979,6507232347,1410502740,6507232349,3510593695,6507183369,1410502718"
136982128,"2461400860,420266495,1726781820,420266106,5688510206,420266829,2617007609,420266473,5670190430,420266471,5670190431,420266477,420266475"
148723795,"420248463,6571008720,2237312092,2237312058"
149697820,"1626440386,4071022793,6511535684,6148878712,1626440309,1626440429,1626440204,1626440427"
149699495,"1333699167,3753009142,6548324774,1333698832,1333730392,6509333940,6548324773,6509374022,1333699020,6509381717,1333699207"
149699512,"6333710179,1333699017,3753009146,1333698883,3753009147,1333698701,3753009148,1333699185,3753009149"
160628033,"420249462,420249460"
160628034,"420249245,4069855908,4069855907,2990955350"
160628053,"1726781982,1726781976"
160628055,"1726781979,1334305596"
160628057,"1334305596,6512221364,1334305384,420248382,6512221362,1334305574,6512226950,420248261,6512226948,420248260,6512229144,1726781988,6512229142,6513222616,1726781990,6513222614,6513222612,1334305514,6513222610,6513237913,1334305313,5598585123,6513237911,1333384824,6513266603,1726782009,6513266601,6513287756,1334305238,6513287754,3080336271,6513287752,1726782011,6513287750,420248258,6513267467,1726782014,6513267465,6158618047,6513367906,1334305714,6513367904,6513402187,1726782017,6513402185,6513410274,5579200484,5579200482"
160628064,"110518415,5580787492,5580787493"
160628066,"1726782064,110518415"
160628085,"1726781967,1726781961,2991010975,6040711614,1726781958,420248639,1726781949,2991010963,1726781945,1726781941,1726781936,1726781932,1726781929,6040711612,2991183899,6040711613,1726781931,6040711610,1726781934,6040711611,1726781939,1726781943,1726781947,1726781951,1726781964,3514391358,2991183905,1726781969,1726781967"
160628146,"5598585123,5598585121,3757552975,6163923736,1334305361,3080339013,3080338862"
164333083,"1333762542,1759885769,6511379012,1036552100,6511379010,6509663012,1333762663,1036552223,6509620466,1036552269,6509620469,6509442937,1333698725,6509442939,6509425411,1007923338"
164347179,"1759885465,6518887460,6514279756,6501893430,1759885468,6501893431,6514279754,1334352318,6514279752,4797760766,4797760736,6514279750,6521099198,1759885475"
