wayid,nodes
584939214,"5590681642,6352608253,5590681633,5590681632,5590681656,5590681641,5590681640,5590681639,6352608252,5590681638,5590681637,5590681636,5590681635,5590681634,5590681630,6352608246,6352608250,6352608247,5590681648,5590681646,6352608248,6352608251,5590681644,5590681643,5590681642"
584939220,"5590681676,5590681677,5590681678,5590681665,5590681655,5590681679,5590681680,5590681681,5590681666,5590681667,5590681670,5590681671,5590681672,5590681673,5590681684,5590681674,5590681675,5590681668,5590681669,5590681658,5590681676"
584939225,"5590681710,6352608264,5590681711,6352608263,5590681661,5590681712,5590681713,5590681714,5590681715,6352608270,5590681716,5590681717,5590681700,5590681701,5590681704,6352608269,5590681705,5590681706,5590681707,5590681662,5590681708,6352608268,6352608267,5590681709,5590681702,5590681703,5590681710"
584945327,"5590749825,5590749828,5590749835,5590749834,5590749833,5590749832,5590749831,5590749830,5590749829,5590749827,5590749826,6352608258,5590749843,5590749842,5590749841,5590749840,5590749847,5590749839,5590749838,6352608259,5590749837,5590749836,5590749825"
624451499,"5896814514,5896814515,5896814516,6038504620,5896814517,6038504619,5896814518,5896814519,5896814520,5896814521,5896814504,5896814505,5896814508,6040949037,5896814509,5896814510,5896814511,5896814512,5896814513,3761464424,5896814506,5896814507,5896814514"
641422025,"6040689087,6040687968,6040687977,6040687979,6040687980,6040687978,6040687981,6040687971,6040687982,6040687972,6040687983,6040687973,6040687984,6040687974,6040689085,6040687975,6040689086,6040687976,6040689087"
641455999,"6040898711,6040898704,6040898705,6040898706,6040898707,6040898687,6040898708,6040898709,6040898710,6040898711"
642451369,"6048235415,6048235406,6048235407,6048235408,6048235409,6048235410,6048235416,6048235411,6048235419,6048235412,6048235413,6048235414,6048235415"
656515091,"6149835508,6149835507,6149835506,6149835505,6149835504,6149835503,6149835502,6149835501,6149835500,6149835499,6149835498,6149835497,6149835509,6149835496,6149835495,6149835494,6149835493,6149835492,6149835491,6149835490,6149835489,6149835488,6149835487,6149835486,6149835508"
656743439,"6151722711,6151722709,6151722708,6151722707,6151722706,6151722705,6151722704,6151722710,6151722703,6151722702,6151722701,6151722700,6151722699,6151722698,6151722711"
656752140,"6151804735,6151804734,6151804733,6151804732,6151804731,6151804730,6151804729,6151804728,6151804727,6151804726,6151804736,6151804725,6151804724,6151804737,6151804723,6151804722,6151804721,6151804720,6151804719,6151804718,6151804735"
657453457,"6157756817,6509126987,6157756816,6157756815,6157756814,6157756813,6509126986,6157756812,6157756811,6509126985,6157756810,6157756809,6157756808,6509126988,6157756807,6157756817"
657494099,"6158064901,6158064900,6158064899,6158064898,6158064897,6158064896,6158064895,6158064894,6158064893,6158064892,6158064891,6158064890,6158064889,6158064902,6158064888,6158064887,6158064886,6158064885,6158063084,6158063083,6158063082,6158063081,6158063080,6158063079,6158063078,6158063077,6158064901"
675361279,"3502679129,3502682834,3502679713,1333698671,3502679712,3502682835,3502671816,3502671817,3502671818,3502671819,3502671820,3502671821,3502682831,1333698903,3502682832,3502682833,3502679124,3502679125,3502679126,3502679127,3502679128,3502679129"
678451271,"3765412849,3765412842,3765412843,3765412844,3765412845,3765412846,3752972616,3765412851,6509553609,6506709314,3765412833,6506709316,6509553610,1333698916,3765412835,3765412836,3765412837,3765412838,3765412839,1333698780,3765412848,6509553607,6506709315,6509553608,3765412849"
678451281,"1333698795,6164960129,3765407085,6556110772,3765407066,3765407067,3765407068,3765407069,3765407070,1333698728,3765407082,6556110771,3765407083,3765407084,6556110770,3765407074,3765407075,3765407076,3765407077,3765407078,1333698795"
680672081,"6373599222,6373599221,6373599220,6373599219,5589350551,6373599218,6373599217,6373599216,6373599215,5589350554,6373599224,6373599214,6373599213,6373599223,6373599212,6373599211,6373599210,6373599222"
693834428,"6514258644,6514258643,6514258642,6514258641,6514258640,6514258639,6514258638,6514258637,6514258636,6514258635,6514258634,6514258633,6514258632,6514258631,6514258630,6514258644"
694545790,"6521692504,6521549169,6521692492,6521692502,6521692501,6521692500,6521549167,6521692499,6521692498,6521692497,1334305193,6521692503,6521692496,6521692495,6521549168,6521692494,6521692493,6521692504"
